    12>D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\prj.codeforces\1749a.cpp(10,19): error C2131: выражение не определяется константой [D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\build.check\prj.codeforces\1749a.vcxproj]
    14>D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\prj.codeforces\0978a.cpp(8,11): error C2131: выражение не определяется константой [D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\build.check\prj.codeforces\0978a.vcxproj]
    14>D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\prj.codeforces\0978a.cpp(15,24): error C3863: тип массива "int [n]" является неназначаемым [D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\build.check\prj.codeforces\0978a.vcxproj]
    34>D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\prj.check\prj.check\doctest_rational\doctest_rational.cpp(3,10): error C1083: Не удается открыть файл включение: rational/rational.hpp: No such file or directory, [D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\build.check\prj.check\prj.check\doctest_rational\doctest_rational.vcxproj]
    32>D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\prj.check\prj.check\doctest_queuelstpr\doctest_queuelstpr.cpp(3,10): error C1083: Не удается открыть файл включение: queuelstpr/queuelstpr.hpp: No such file or directory, [D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\build.check\prj.check\prj.check\doctest_queuelstpr\doctest_queuelstpr.vcxproj]
    33>D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\prj.check\prj.check\doctest_queuelstpr\doctest_queuelstpr_moveable.cpp(3,10): error C1083: Не удается открыть файл включение: queuelstpr/queuelstpr.hpp: No such file or directory, [D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\build.check\prj.check\prj.check\doctest_queuelstpr\doctest_queuelstpr_m.vcxproj]
    35>D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\prj.check\prj.check\doctest_rational\doctest_rational_moveable.cpp(3,10): error C1083: Не удается открыть файл включение: rational/rational.hpp: No such file or directory, [D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\build.check\prj.check\prj.check\doctest_rational\doctest_rational_m.vcxproj]
    36>D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\prj.check\prj.check\doctest_rational\doctest_rational_io.cpp(3,10): error C1083: Не удается открыть файл включение: rational/rational.hpp: No such file or directory, [D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\build.check\prj.check\prj.check\doctest_rational\doctest_rational_io.vcxproj]
    39>D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\prj.check\prj.check\doctest_stackarr\doctest_stackarr.cpp(3,10): error C1083: Не удается открыть файл включение: stackarr/stackarr.hpp: No such file or directory, [D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\build.check\prj.check\prj.check\doctest_stackarr\doctest_stackarr.vcxproj]
    37>D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\prj.check\prj.check\doctest_stackarr\doctest_stackarr_moveable.cpp(3,10): error C1083: Не удается открыть файл включение: stackarr/stackarr.hpp: No such file or directory, [D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\build.check\prj.check\prj.check\doctest_stackarr\doctest_stackarr_m.vcxproj]
    38>D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(3,10): error C1083: Не удается открыть файл включение: stacklst/stacklst.hpp: No such file or directory, [D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    40>D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\prj.check\prj.check\doctest_stacklst\doctest_stacklst_moveable.cpp(3,10): error C1083: Не удается открыть файл включение: stacklst/stacklst.hpp: No such file or directory, [D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst_m.vcxproj]
    25>D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\prj.check\prj.check\doctest_complex\doctest_complex_moveable.cpp(3,10): error C1083: Не удается открыть файл включение: complex/complex.hpp: No such file or directory, [D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\build.check\prj.check\prj.check\doctest_complex\doctest_complex_m.vcxproj]
    24>D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\prj.check\prj.check\doctest_complex\doctest_complex_io.cpp(3,10): error C1083: Не удается открыть файл включение: complex/complex.hpp: No such file or directory, [D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\build.check\prj.check\prj.check\doctest_complex\doctest_complex_io.vcxproj]
    23>D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\prj.check\prj.check\doctest_complex\doctest_complex.cpp(3,10): error C1083: Не удается открыть файл включение: complex/complex.hpp: No such file or directory, [D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\build.check\prj.check\prj.check\doctest_complex\doctest_complex.vcxproj]
